year,week,count,sum
2012,3,0,0
2012,4,0,0
2012,5,0,0
2012,6,0,0
2012,7,0,0
2012,8,0,0
2012,9,0,0
2012,10,0,0
2012,11,0,0
2012,12,0,0
2012,13,0,0
2012,14,0,0
2012,15,0,0
2012,16,0,0
2012,17,0,0
2012,18,0,0
2012,19,0,0
2012,20,0,0
2012,21,0,0
2012,22,0,0
2012,23,0,0
2012,24,0,0
2012,25,0,0
2012,26,0,0
2012,27,0,0
2012,28,0,0
2012,29,0,0
2012,30,0,0
2012,31,0,0
2012,32,0,0
2012,33,0,0
2012,34,0,0
2012,35,0,0
2012,36,0,0
2012,37,0,0
2012,38,0,0
2012,39,0,0
2012,40,0,0
2012,41,0,0
2012,42,0,0
2012,43,0,0
2012,44,0,0
2012,45,0,0
2012,46,0,0
2012,47,0,0
2012,48,0,0
2012,49,0,0
2012,50,0,0
2012,51,0,0
2012,52,0,0
2013,1,0,0
2013,2,0,0
2013,3,0,0
2013,4,0,0
2013,5,0,0
2013,6,0,0
2013,7,0,0
2013,8,0,0
2013,9,0,0
2013,10,0,0
2013,11,0,0
2013,12,0,0
2013,13,0,0
2013,14,0,0
2013,15,0,0
2013,16,0,0
2013,17,0,0
2013,18,0,0
2013,19,0,0
2013,20,0,0
2013,21,0,0
2013,22,0,0
2013,23,0,0
2013,24,0,0
2013,25,0,0
2013,26,0,0
2013,27,0,0
2013,28,0,0
2013,29,0,0
2013,30,0,0
2013,31,0,0
2013,32,0,0
2013,33,0,0
2013,34,0,0
2013,35,0,0
2013,36,0,0
2013,37,0,0
2013,38,0,0
2013,39,0,0
2013,40,0,0
2013,41,0,0
2013,42,0,0
2013,43,0,0
2013,44,0,0
2013,45,0,0
2013,46,0,0
2013,47,0,0
2013,48,0,0
2013,49,0,0
2013,50,0,0
2013,51,0,0
2013,52,0,0
2014,1,0,0
2014,2,0,0
2014,3,0,0
2014,4,0,0
2014,5,0,0
2014,6,0,0
2014,7,0,0
2014,8,0,0
2014,9,2,0
2014,10,0,0
2014,11,0,0
2014,12,0,0
2014,13,0,0
2014,14,0,0
2014,15,1,0
2014,16,0,0
2014,17,52,52
2014,18,271,323
2014,19,77,400
2014,20,50,450
2014,21,35,485
2014,22,21,506
2014,23,25,531
2014,24,13,544
2014,25,23,567
2014,26,56,623
2014,27,29,652
2014,28,34,686
2014,29,25,711
2014,30,22,733
2014,31,28,761
2014,32,26,787
2014,33,52,839
2014,34,30,869
2014,35,31,900
2014,36,14,914
2014,37,18,932
2014,38,125,1057
2014,39,39,1096
2014,40,36,1132
2014,41,53,1185
2014,42,34,1219
2014,43,31,1250
2014,44,37,1287
2014,45,29,1316
2014,46,41,1357
2014,47,28,1385
2014,48,20,1405
2015,1,12,1417
2015,2,26,1443
2015,3,23,1466
2015,4,45,1511
2015,5,60,1571
2015,6,34,1605
2015,7,33,1638
2015,8,35,1673
2015,9,50,1723
2015,10,60,1783
2015,11,32,1815
2015,12,34,1849
2015,13,54,1903
2015,14,39,1942
2015,15,35,1977
2015,16,49,2026
2015,17,65,2091
2015,18,62,2153
2015,19,52,2205
2015,20,55,2260
2015,21,74,2334
2015,22,45,2379
2015,23,26,2405
2015,24,133,2538
2015,25,89,2627
2015,26,47,2674
2015,27,37,2711
2015,28,31,2742
2015,29,37,2779
2015,30,23,2802
2015,31,24,2826
2015,32,28,2854
2015,33,37,2891
2015,34,30,2921
2015,35,30,2951
2015,36,39,2990
2015,37,51,3041
2015,38,41,3082
2015,39,40,3122
2015,40,29,3151
2015,41,55,3206
2015,42,40,3246
2015,43,52,3298
2015,44,43,3341
2015,45,113,3454
2015,46,33,3487
2015,47,40,3527
2015,48,25,3552
2016,1,16,3568
2016,2,37,3605
2016,3,55,3660
2016,4,45,3705
2016,5,52,3757
2016,6,42,3799
2016,7,49,3848
2016,8,41,3889
2016,9,57,3946
2016,10,40,3986
2016,11,50,4036
2016,12,46,4082
2016,13,67,4149
2016,14,51,4200
2016,15,43,4243
2016,16,62,4305
2016,17,67,4372
2016,18,29,4401
2016,19,47,4448
2016,20,33,4481
2016,21,59,4540
2016,22,47,4587
2016,23,35,4622
2016,24,32,4654
2016,25,69,4723
2016,26,42,4765
2016,27,50,4815
2016,28,44,4859
2016,29,76,4935
2016,30,51,4986
2016,31,37,5023
2016,32,40,5063
2016,33,61,5124
2016,34,38,5162
