year,week,count,sum
2010,10,2,2
2010,11,0,2
2010,12,0,2
2010,13,0,2
2010,14,1,3
2010,15,0,3
2010,16,0,3
2010,17,1,4
2010,18,1,5
2010,19,0,5
2010,20,1,6
2010,21,2,8
2010,22,2,10
2010,23,1,11
2010,24,0,11
2010,25,2,13
2010,26,0,13
2010,27,1,14
2010,28,2,16
2010,29,0,16
2010,30,1,17
2010,31,1,18
2010,32,0,18
2010,33,1,19
2010,34,0,19
2010,35,2,21
2010,36,0,21
2010,37,0,21
2010,38,1,22
2010,39,1,23
2010,40,2,25
2010,41,0,25
2010,42,0,25
2010,43,1,26
2010,44,1,27
2010,45,1,28
2010,46,1,29
2010,47,1,30
2010,48,0,30
2011,1,1,31
2011,2,1,32
2011,3,0,32
2011,4,1,33
2011,5,3,36
2011,6,2,38
2011,7,0,38
2011,8,1,39
2011,9,1,40
2011,10,0,40
2011,11,2,42
2011,12,3,45
2011,13,1,46
2011,14,0,46
2011,15,2,48
2011,16,3,51
2011,17,2,53
2011,18,4,57
2011,19,1,58
2011,20,5,63
2011,21,1,64
2011,22,0,64
2011,23,1,65
2011,24,2,67
2011,25,3,70
2011,26,0,70
2011,27,1,71
2011,28,2,73
2011,29,0,73
2011,30,2,75
2011,31,2,77
2011,32,0,77
2011,33,1,78
2011,34,3,81
2011,35,2,83
2011,36,3,86
2011,37,1,87
2011,38,1,88
2011,39,3,91
2011,40,1,92
2011,41,2,94
2011,42,0,94
2011,43,2,96
2011,44,2,98
2011,45,2,100
2011,46,10,110
2011,47,8,118
2011,48,0,118
2012,1,2,120
2012,2,3,123
2012,3,1,124
2012,4,0,124
2012,5,5,129
2012,6,1,130
2012,7,2,132
2012,8,5,137
2012,9,1,138
2012,10,1,139
2012,11,2,141
2012,12,5,146
2012,13,6,152
2012,14,2,154
2012,15,3,157
2012,16,3,160
2012,17,5,165
2012,18,2,167
2012,19,6,173
2012,20,4,177
2012,21,17,194
2012,22,5,199
2012,23,1,200
2012,24,10,210
2012,25,7,217
2012,26,3,220
2012,27,5,225
2012,28,7,232
2012,29,8,240
2012,30,4,244
2012,31,7,251
2012,32,6,257
2012,33,5,262
2012,34,4,266
2012,35,3,269
2012,36,3,272
2012,37,5,277
2012,38,2,279
2012,39,5,284
2012,40,6,290
2012,41,8,298
2012,42,4,302
2012,43,9,311
2012,44,4,315
2012,45,16,331
2012,46,7,338
2012,47,9,347
2012,48,5,352
2013,1,2,354
2013,2,6,360
2013,3,6,366
2013,4,7,373
2013,5,14,387
2013,6,1,388
2013,7,8,396
2013,8,13,409
2013,9,2,411
2013,10,3,414
2013,11,9,423
