year,week,count,sum
2015,41,0,0
2015,42,0,0
2015,43,83,83
2015,44,53,136
2015,45,15,151
2015,46,21,172
2015,47,15,187
2015,48,20,207
2016,1,4,211
2016,2,11,222
2016,3,5,227
2016,4,8,235
2016,5,19,254
2016,6,7,261
2016,7,10,271
2016,8,12,283
2016,9,13,296
2016,10,4,300
2016,11,2,302
2016,12,5,307
2016,13,15,322
2016,14,5,327
2016,15,4,331
2016,16,2,333
2016,17,10,343
2016,18,5,348
2016,19,6,354
2016,20,9,363
2016,21,10,373
2016,22,7,380
2016,23,4,384
2016,24,5,389
2016,25,13,402
2016,26,10,412
2016,27,5,417
2016,28,8,425
2016,29,5,430
2016,30,8,438
2016,31,9,447
2016,32,12,459
2016,33,9,468
2016,34,6,474
