year,week,count,sum
2013,43,1,1
2013,44,0,1
2013,45,0,1
2013,46,4,5
2013,47,8,13
2013,48,7,20
2014,1,3,23
2014,2,9,32
2014,3,7,39
2014,4,5,44
2014,5,7,51
2014,6,3,54
2014,7,7,61
2014,8,8,69
2014,9,5,74
2014,10,1,75
2014,11,7,82
2014,12,15,97
2014,13,18,115
2014,14,14,129
2014,15,9,138
2014,16,17,155
2014,17,22,177
2014,18,17,194
2014,19,16,210
2014,20,16,226
2014,21,20,246
2014,22,14,260
2014,23,15,275
2014,24,14,289
2014,25,12,301
2014,26,16,317
2014,27,14,331
2014,28,16,347
2014,29,18,365
2014,30,11,376
2014,31,18,394
2014,32,12,406
2014,33,27,433
2014,34,13,446
2014,35,7,453
2014,36,20,473
2014,37,20,493
2014,38,16,509
2014,39,20,529
2014,40,27,556
2014,41,30,586
2014,42,20,606
2014,43,15,621
2014,44,21,642
2014,45,20,662
2014,46,18,680
2014,47,16,696
2014,48,17,713
2015,1,8,721
2015,2,21,742
2015,3,17,759
2015,4,19,778
2015,5,40,818
2015,6,18,836
2015,7,16,852
2015,8,13,865
2015,9,28,893
2015,10,15,908
2015,11,24,932
2015,12,25,957
2015,13,24,981
2015,14,29,1010
2015,15,25,1035
2015,16,12,1047
2015,17,28,1075
2015,18,21,1096
2015,19,18,1114
2015,20,27,1141
2015,21,27,1168
2015,22,29,1197
2015,23,23,1220
2015,24,22,1242
2015,25,22,1264
2015,26,25,1289
2015,27,24,1313
2015,28,23,1336
2015,29,32,1368
2015,30,26,1394
2015,31,23,1417
2015,32,19,1436
2015,33,18,1454
2015,34,35,1489
2015,35,31,1520
2015,36,26,1546
2015,37,27,1573
2015,38,23,1596
2015,39,13,1609
2015,40,25,1634
2015,41,37,1671
2015,42,25,1696
2015,43,31,1727
2015,44,23,1750
2015,45,35,1785
2015,46,18,1803
2015,47,18,1821
2015,48,15,1836
2016,1,12,1848
2016,2,21,1869
2016,3,25,1894
2016,4,23,1917
2016,5,26,1943
2016,6,12,1955
2016,7,28,1983
2016,8,17,2000
2016,9,17,2017
2016,10,28,2045
2016,11,29,2074
2016,12,18,2092
2016,13,34,2126
2016,14,18,2144
2016,15,19,2163
2016,16,20,2183
2016,17,27,2210
2016,18,23,2233
2016,19,30,2263
2016,20,11,2274
2016,21,27,2301
2016,22,11,2312
2016,23,16,2328
2016,24,8,2336
2016,25,35,2371
2016,26,22,2393
2016,27,24,2417
2016,28,14,2431
2016,29,28,2459
2016,30,11,2470
2016,31,20,2490
2016,32,20,2510
2016,33,28,2538
2016,34,25,2563
