year,week,count,sum
2015,39,0,0
2015,40,0,0
2015,41,0,0
2015,42,0,0
2015,43,0,0
2015,44,0,0
2015,45,1903,1903
2015,46,480,2383
2015,47,181,2564
2015,48,92,2656
2016,1,57,2713
2016,2,88,2801
2016,3,64,2865
2016,4,48,2913
2016,5,62,2975
2016,6,35,3010
2016,7,49,3059
2016,8,54,3113
2016,9,63,3176
2016,10,56,3232
2016,11,36,3268
2016,12,74,3342
2016,13,59,3401
2016,14,95,3496
2016,15,97,3593
2016,16,60,3653
2016,17,59,3712
2016,18,68,3780
2016,19,59,3839
2016,20,49,3888
2016,21,60,3948
2016,22,48,3996
2016,23,64,4060
2016,24,49,4109
2016,25,80,4189
2016,26,54,4243
2016,27,46,4289
2016,28,42,4331
2016,29,84,4415
2016,30,43,4458
2016,31,52,4510
2016,32,36,4546
2016,33,70,4616
2016,34,41,4657
