year,week,count,sum
2015,36,155,155
2015,37,123,278
2015,38,33,311
2015,39,14,325
2015,40,14,339
2015,41,15,354
2015,42,21,375
2015,43,3,378
2015,44,5,383
2015,45,9,392
2015,46,7,399
2015,47,5,404
2015,48,3,407
2016,1,5,412
2016,2,5,417
2016,3,5,422
2016,4,1,423
2016,5,4,427
2016,6,4,431
2016,7,3,434
2016,8,4,438
2016,9,15,453
2016,10,15,468
2016,11,9,477
2016,12,15,492
2016,13,4,496
2016,14,2,498
2016,15,10,508
2016,16,4,512
2016,17,5,517
2016,18,8,525
2016,19,6,531
2016,20,2,533
2016,21,39,572
2016,22,6,578
2016,23,9,587
2016,24,6,593
2016,25,8,601
2016,26,5,606
2016,27,6,612
2016,28,10,622
2016,29,7,629
2016,30,13,642
2016,31,4,646
2016,32,9,655
2016,33,9,664
2016,34,12,676
