// ID, state, Author, Date (Open), Date (Close)
// Date pattern: DD/MM/YYYY
// Issues from Repository: https://github.com/zulip/zulip

1996,open,XXX,sup95,13/10/2016,Null
1995,open,XXX,brainwane,13/10/2016,Null
1994,open,XXX,showell,13/10/2016,Null
1993,open,XXX,umairwaheed,13/10/2016,Null
1992,open,XXX,arpith,13/10/2016,Null
1991,open,XXX,arpith,13/10/2016,Null
1990,open,XXX,rishig,13/10/2016,Null
1989,closed,XXX,showell,13/10/2016,13/10/2016
1988,open,XXX,vikas-parashar,12/10/2016,Null
1987,open,XXX,lgh2,12/10/2016,Null
1986,open,XXX,hlieberman,12/10/2016,Null
1985,open,XXX,arpith,12/10/2016,Null
1984,open,XXX,umairwaheed,12/10/2016,Null
1983,open,XXX,trueskawka,12/10/2016,Null
1982,open,XXX,timabbott,12/10/2016,Null
1981,open,XXX,timabbott,12/10/2016,Null
1980,closed,XXX,reyha,12/10/2016,12/10/2016
1979,closed,XXX,timabbott,12/10/2016,12/10/2016
1978,open,XXX,timabbott,12/10/2016,Null
1977,open,XXX,timabbott,12/10/2016,Null
1976,open,XXX,feorlen,12/10/2016,Null
1975,closed,XXX,vikas-parashar,11/10/2016,13/10/2016
1974,closed,XXX,christi3k,11/10/2016,11/10/2016
1973,closed,XXX,brockwhittaker,11/10/2016,11/10/2016
1972,closed,XXX,sup95,11/10/2016,11/10/2016
1971,closed,XXX,christi3k,11/10/2016,11/10/2016
1970,closed,XXX,rishig,11/10/2016,11/10/2016
1969,open,XXX,brainwane,11/10/2016,Null
1968,closed,XXX,gustavopinto,11/10/2016,11/10/2016
1967,open,XXX,brainwane,11/10/2016,Null
1966,open,XXX,kou,11/10/2016,Null
1965,open,XXX,kou,11/10/2016,Null
1964,closed,XXX,kou,11/10/2016,11/10/2016
1963,closed,XXX,umairwaheed,11/10/2016,11/10/2016
1962,closed,XXX,sharmaeklavya2,11/10/2016,11/10/2016
1961,closed,XXX,sharmaeklavya2,11/10/2016,11/10/2016
1960,closed,XXX,umairwaheed,11/10/2016,13/10/2016
1959,closed,XXX,reyha,11/10/2016,11/10/2016
1958,closed,XXX,timabbott,11/10/2016,11/10/2016
1957,closed,XXX,timabbott,11/10/2016,11/10/2016
1956,open,XXX,timabbott,10/10/2016,Null
1955,open,XXX,porterjamesj,10/10/2016,Null
1954,open,XXX,devstorm21,10/10/2016,Null
1953,closed,XXX,reyha,10/10/2016,10/10/2016
1952,closed,XXX,kkanahin,10/10/2016,11/10/2016
1951,open,XXX,femnad,10/10/2016,Null
1950,open,XXX,timabbott,10/10/2016,Null
1949,open,XXX,showell,10/10/2016,Null
1948,closed,XXX,timabbott,10/10/2016,11/10/2016
1947,open,XXX,timabbott,10/10/2016,Null
1946,closed,XXX,kkanahin,10/10/2016,10/10/2016
1945,open,XXX,umairwaheed,10/10/2016,Null
1944,closed,XXX,bcroq,10/10/2016,10/10/2016
1943,closed,XXX,umairwaheed,10/10/2016,10/10/2016
1942,closed,XXX,kou,10/10/2016,10/10/2016
1941,closed,XXX,kou,10/10/2016,10/10/2016
1940,closed,XXX,kou,10/10/2016,10/10/2016
1939,open,XXX,deekshaarul,09/10/2016,Null
1938,closed,XXX,kou,09/10/2016,09/10/2016
1937,closed,XXX,Katy310,09/10/2016,10/10/2016
1936,closed,XXX,sonali0901,09/10/2016,09/10/2016
1935,open,XXX,sup95,09/10/2016,Null
1934,closed,XXX,kou,09/10/2016,10/10/2016
1933,closed,XXX,devstorm21,08/10/2016,10/10/2016
1932,open,XXX,brockwhittaker,07/10/2016,Null
1931,closed,XXX,sharmaeklavya2,07/10/2016,07/10/2016
1930,closed,XXX,showell,07/10/2016,07/10/2016
1929,closed,XXX,umairwaheed,07/10/2016,10/10/2016
1928,open,XXX,sonali0901,07/10/2016,Null
1927,closed,XXX,umairwaheed,07/10/2016,10/10/2016
1926,closed,XXX,rishig,07/10/2016,08/10/2016
1925,closed,XXX,rishig,07/10/2016,08/10/2016
1924,closed,XXX,timabbott,07/10/2016,07/10/2016
1923,closed,XXX,rishig,07/10/2016,12/10/2016
1922,closed,XXX,umkay,06/10/2016,07/10/2016
1921,closed,XXX,showell,06/10/2016,12/10/2016
1920,closed,XXX,umkay,06/10/2016,07/10/2016
1919,closed,XXX,rishig,06/10/2016,06/10/2016
1918,closed,XXX,umkay,06/10/2016,06/10/2016
1917,open,XXX,umkay,05/10/2016,Null
1916,closed,XXX,umkay,05/10/2016,06/10/2016
1915,closed,XXX,brainwane,05/10/2016,05/10/2016
1914,open,XXX,timabbott,05/10/2016,Null
1913,open,XXX,vikas-parashar,05/10/2016,Null
1912,closed,XXX,kkanahin,05/10/2016,07/10/2016
1911,closed,XXX,Diptanshu8,05/10/2016,07/10/2016
1910,open,XXX,timabbott,05/10/2016,Null
1909,closed,XXX,timabbott,05/10/2016,05/10/2016
1908,closed,XXX,brockwhittaker,05/10/2016,06/10/2016
1907,open,XXX,umkay,04/10/2016,Null
1906,closed,XXX,reyha,04/10/2016,06/10/2016
1905,closed,XXX,TomaszKolek,04/10/2016,05/10/2016
1904,open,XXX,Diptanshu8,04/10/2016,Null
1903,closed,XXX,showell,04/10/2016,04/10/2016
1902,closed,XXX,Diptanshu8,04/10/2016,04/10/2016
1901,open,XXX,DataBranner,04/10/2016,Null
1900,closed,XXX,sonali0901,04/10/2016,06/10/2016
1899,open,XXX,feorlen,04/10/2016,Null
1898,open,XXX,brockwhittaker,04/10/2016,Null
1897,closed,XXX,timabbott,03/10/2016,04/10/2016
1896,open,XXX,brockwhittaker,03/10/2016,Null
1895,closed,XXX,timabbott,03/10/2016,07/10/2016
1894,closed,XXX,umkay,03/10/2016,05/10/2016
1893,closed,XXX,showell,03/10/2016,04/10/2016
1892,closed,XXX,Diptanshu8,03/10/2016,06/10/2016
1891,closed,XXX,sup95,03/10/2016,09/10/2016
1890,closed,XXX,umairwaheed,03/10/2016,03/10/2016
1889,closed,XXX,feorlen,02/10/2016,06/10/2016
1888,closed,XXX,rishig,01/10/2016,06/10/2016
1887,open,XXX,janitanjaria23,30/09/2016,Null
1886,open,XXX,brainwane,30/09/2016,Null
1885,closed,XXX,umairwaheed,30/09/2016,30/09/2016
1884,closed,XXX,keturn,30/09/2016,11/10/2016
1883,open,XXX,keturn,30/09/2016,Null
1882,closed,XXX,christi3k,29/09/2016,11/10/2016
1881,closed,XXX,brockwhittaker,29/09/2016,30/09/2016
1880,closed,XXX,brockwhittaker,29/09/2016,29/09/2016
1879,open,XXX,christi3k,29/09/2016,Null
1878,open,XXX,feorlen,29/09/2016,Null
1877,open,XXX,brainwane,29/09/2016,Null
1876,open,XXX,BasilisAndr,29/09/2016,Null
1875,closed,XXX,brainwane,29/09/2016,30/09/2016
1874,closed,XXX,TomaszKolek,28/09/2016,02/10/2016
1873,closed,XXX,sonali0901,28/09/2016,28/09/2016
1872,closed,XXX,baali,28/09/2016,03/10/2016
1871,closed,XXX,timabbott,28/09/2016,10/10/2016
1870,open,XXX,timabbott,28/09/2016,Null
1869,closed,XXX,brockwhittaker,27/09/2016,28/09/2016
1868,open,XXX,rishig,27/09/2016,Null
1867,open,XXX,rishig,27/09/2016,Null
1866,open,XXX,rishig,27/09/2016,Null
1865,open,XXX,showell,27/09/2016,Null
1864,closed,XXX,timabbott,27/09/2016,27/09/2016
1863,open,XXX,feorlen,27/09/2016,Null
1862,closed,XXX,feorlen,27/09/2016,13/10/2016
1861,closed,XXX,feorlen,27/09/2016,06/10/2016
1860,closed,XXX,showell,27/09/2016,27/09/2016
1859,closed,XXX,umairwaheed,27/09/2016,11/10/2016
1858,open,XXX,timabbott,27/09/2016,Null
1857,open,XXX,timabbott,26/09/2016,Null
1856,closed,XXX,hackerkid,26/09/2016,27/09/2016
1855,closed,XXX,rizplate,26/09/2016,27/09/2016
1854,open,XXX,TomaszKolek,26/09/2016,Null
1853,open,XXX,brainwane,26/09/2016,Null
1852,closed,XXX,sup95,25/09/2016,26/09/2016
1851,open,XXX,showell,24/09/2016,Null
1850,closed,XXX,hackerkid,24/09/2016,27/09/2016
1849,open,XXX,mohsenSy,24/09/2016,Null
1848,open,XXX,brockwhittaker,23/09/2016,Null
1847,closed,XXX,showell,23/09/2016,24/09/2016
1846,open,XXX,brockwhittaker,23/09/2016,Null
1845,open,XXX,showell,23/09/2016,Null
1844,open,XXX,timabbott,23/09/2016,Null
1843,closed,XXX,sonali0901,23/09/2016,28/09/2016
1842,open,XXX,reyha,23/09/2016,Null
1841,closed,XXX,showell,23/09/2016,23/09/2016
1840,closed,XXX,brockwhittaker,22/09/2016,28/09/2016
1839,closed,XXX,TomaszKolek,22/09/2016,23/09/2016
1838,closed,XXX,hackerkid,22/09/2016,23/09/2016
1837,closed,XXX,TomaszKolek,22/09/2016,23/09/2016
1836,open,XXX,showell,22/09/2016,Null
1835,closed,XXX,showell,22/09/2016,22/09/2016
1834,closed,XXX,timabbott,22/09/2016,26/09/2016
1833,closed,XXX,arpith,22/09/2016,23/09/2016
1832,closed,XXX,umairwaheed,22/09/2016,27/09/2016
1831,closed,XXX,keturn,21/09/2016,23/09/2016
1830,closed,XXX,keturn,21/09/2016,23/09/2016
1829,closed,XXX,zeddmaxx,21/09/2016,11/10/2016
1828,closed,XXX,umkay,21/09/2016,23/09/2016
1827,closed,XXX,rishig,20/09/2016,06/10/2016
1826,open,XXX,brockwhittaker,20/09/2016,Null
1825,closed,XXX,showell,20/09/2016,20/09/2016
1824,closed,XXX,umairwaheed,20/09/2016,21/09/2016
1823,closed,XXX,umkay,20/09/2016,07/10/2016
1822,closed,XXX,showell,20/09/2016,20/09/2016
1821,open,XXX,timabbott,19/09/2016,Null
1820,open,XXX,TomaszKolek,19/09/2016,Null
1819,closed,XXX,showell,19/09/2016,19/09/2016
1818,closed,XXX,brockwhittaker,19/09/2016,19/09/2016
1817,closed,XXX,showell,19/09/2016,19/09/2016
1816,closed,XXX,sunnypalace,19/09/2016,19/09/2016
1815,closed,XXX,umairwaheed,19/09/2016,27/09/2016
1814,closed,XXX,timabbott,18/09/2016,11/10/2016
1813,closed,XXX,kou,18/09/2016,18/09/2016
1812,closed,XXX,sahildua2305,18/09/2016,27/09/2016
1811,closed,XXX,showell,17/09/2016,17/09/2016
1810,closed,XXX,showell,17/09/2016,17/09/2016
1809,closed,XXX,sharmaeklavya2,17/09/2016,17/09/2016
1808,open,XXX,showell,17/09/2016,Null
1807,open,XXX,timabbott,16/09/2016,Null
1806,closed,XXX,timabbott,16/09/2016,16/09/2016
1805,closed,XXX,showell,16/09/2016,17/09/2016
1804,closed,XXX,showell,16/09/2016,16/09/2016
1803,closed,XXX,e-tagirov,16/09/2016,27/09/2016
1802,closed,XXX,showell,15/09/2016,16/09/2016
1801,closed,XXX,showell,15/09/2016,16/09/2016
1800,open,XXX,timabbott,15/09/2016,Null
1799,closed,XXX,showell,15/09/2016,15/09/2016
1798,closed,XXX,showell,15/09/2016,15/09/2016
1797,open,XXX,joariasl,15/09/2016,Null
1796,closed,XXX,showell,15/09/2016,15/09/2016
1795,open,XXX,rishig,15/09/2016,Null
1794,closed,XXX,showell,14/09/2016,23/09/2016
1793,closed,XXX,brockwhittaker,14/09/2016,20/09/2016
1792,closed,XXX,sonali0901,14/09/2016,14/09/2016
1791,closed,XXX,TI-Admin,14/09/2016,14/09/2016
1790,closed,XXX,showell,14/09/2016,19/09/2016
1789,closed,XXX,timabbott,13/09/2016,14/09/2016
1788,closed,XXX,brockwhittaker,13/09/2016,27/09/2016
1787,closed,XXX,showell,13/09/2016,13/09/2016
1786,closed,XXX,umkay,13/09/2016,14/09/2016
1785,closed,XXX,TomaszKolek,13/09/2016,05/10/2016
1784,closed,XXX,showell,13/09/2016,13/09/2016
1783,open,XXX,bgilbert,13/09/2016,Null
1782,closed,XXX,timabbott,12/09/2016,14/09/2016
1781,closed,XXX,umkay,12/09/2016,13/09/2016
1780,closed,XXX,showell,12/09/2016,13/09/2016
1779,open,XXX,timabbott,12/09/2016,Null
1778,open,XXX,showell,12/09/2016,Null
1777,closed,XXX,TomaszKolek,12/09/2016,27/09/2016
1776,closed,XXX,TomaszKolek,11/09/2016,12/09/2016
1775,closed,XXX,GPHemsley,11/09/2016,11/09/2016
1774,closed,XXX,GPHemsley,11/09/2016,11/09/2016
1773,closed,XXX,GPHemsley,11/09/2016,11/09/2016
1772,closed,XXX,showell,11/09/2016,12/09/2016
1771,closed,XXX,umairwaheed,11/09/2016,12/09/2016
1770,closed,XXX,TheKigen,11/09/2016,27/09/2016
1769,closed,XXX,timabbott,10/09/2016,18/09/2016
1768,open,XXX,GervaisdeM,10/09/2016,Null
1767,open,XXX,timabbott,10/09/2016,Null
1766,closed,XXX,umkay,10/09/2016,10/09/2016
1765,open,XXX,showell,08/09/2016,Null
1764,closed,XXX,timabbott,08/09/2016,08/09/2016
1763,closed,XXX,umkay,07/09/2016,08/09/2016
1762,closed,XXX,timabbott,06/09/2016,07/09/2016
1761,open,XXX,timabbott,06/09/2016,Null
1760,open,XXX,hackerkid,06/09/2016,Null
1759,closed,XXX,TomaszKolek,06/09/2016,08/09/2016
1758,closed,XXX,showell,06/09/2016,06/09/2016
1757,closed,XXX,mohsenSy,06/09/2016,06/09/2016
1756,closed,XXX,timabbott,06/09/2016,14/09/2016
1755,open,XXX,GervaisdeM,06/09/2016,Null
1754,open,XXX,christi3k,06/09/2016,Null
1753,closed,XXX,umairwaheed,05/09/2016,10/10/2016
1752,closed,XXX,MarkCupitt,03/09/2016,06/09/2016
1751,open,XXX,MarkCupitt,03/09/2016,Null
1750,closed,XXX,rishig,02/09/2016,06/09/2016
1749,closed,XXX,TomaszKolek,01/09/2016,14/09/2016
1748,closed,XXX,mark0978,01/09/2016,10/09/2016
1747,open,XXX,umairwaheed,01/09/2016,Null
1746,closed,XXX,christi3k,01/09/2016,06/09/2016
1745,open,XXX,umkay,01/09/2016,Null
1744,closed,XXX,showell,01/09/2016,13/09/2016
1743,open,XXX,brainwane,31/08/2016,Null
1742,closed,XXX,umairwaheed,31/08/2016,06/09/2016
1741,closed,XXX,rishig,31/08/2016,31/08/2016
1740,open,XXX,rishig,30/08/2016,Null
1739,open,XXX,brainwane,30/08/2016,Null
1738,closed,XXX,umairwaheed,30/08/2016,31/08/2016
1737,closed,XXX,umairwaheed,30/08/2016,01/09/2016
1736,open,XXX,akashnimare,30/08/2016,Null
1735,closed,XXX,hackerkid,29/08/2016,22/09/2016
1734,open,XXX,brainwane,29/08/2016,Null
1733,open,XXX,rishig,29/08/2016,Null
1732,closed,XXX,neurodynamic,29/08/2016,06/09/2016
1731,closed,XXX,TI-Admin,29/08/2016,06/09/2016
1730,closed,XXX,GPHemsley,29/08/2016,31/08/2016
1729,closed,XXX,GPHemsley,28/08/2016,12/09/2016
1728,closed,XXX,neurodynamic,28/08/2016,28/08/2016
1727,open,XXX,timabbott,27/08/2016,Null
1726,closed,XXX,ghost,27/08/2016,27/08/2016
1725,closed,XXX,showell,27/08/2016,27/08/2016
1724,closed,XXX,ghost,27/08/2016,27/08/2016
1723,open,XXX,rishig,26/08/2016,Null
1722,closed,XXX,rishig,26/08/2016,26/08/2016
1721,open,XXX,timabbott,26/08/2016,Null
1720,open,XXX,timabbott,26/08/2016,Null
1719,closed,XXX,brockwhittaker,26/08/2016,27/08/2016
1718,open,XXX,samgaw,26/08/2016,Null
1717,open,XXX,showell,26/08/2016,Null
1716,open,XXX,timabbott,26/08/2016,Null
1715,open,XXX,showell,26/08/2016,Null
1714,open,XXX,showell,26/08/2016,Null
1713,open,XXX,sandish2222,26/08/2016,Null
1712,open,XXX,sandish2222,26/08/2016,Null
1711,closed,XXX,brockwhittaker,26/08/2016,27/09/2016
1710,closed,XXX,timabbott,25/08/2016,11/10/2016
1709,open,XXX,timabbott,25/08/2016,Null
1708,open,XXX,TomaszKolek,25/08/2016,Null
1707,open,XXX,aakash-cr7,25/08/2016,Null
1706,open,XXX,showell,25/08/2016,Null
1705,open,XXX,timabbott,25/08/2016,Null
1704,closed,XXX,mark0978,25/08/2016,25/08/2016
1703,closed,XXX,showell,25/08/2016,25/08/2016
1702,closed,XXX,timabbott,25/08/2016,25/08/2016
1701,closed,XXX,showell,25/08/2016,25/08/2016
1700,closed,XXX,showell,25/08/2016,26/08/2016
1699,closed,XXX,brockwhittaker,24/08/2016,26/08/2016
1698,closed,XXX,showell,24/08/2016,24/08/2016
1697,open,XXX,timabbott,24/08/2016,Null
1696,closed,XXX,showell,24/08/2016,27/09/2016
1695,closed,XXX,showell,24/08/2016,24/08/2016
1694,closed,XXX,ragsagar,24/08/2016,25/08/2016
1693,closed,XXX,brockwhittaker,24/08/2016,26/08/2016
1692,open,XXX,brockwhittaker,23/08/2016,Null
1691,open,XXX,showell,23/08/2016,Null
1690,open,XXX,showell,23/08/2016,Null
1689,closed,XXX,TomaszKolek,23/08/2016,25/08/2016
1688,closed,XXX,brockwhittaker,23/08/2016,20/09/2016
1687,closed,XXX,brockwhittaker,23/08/2016,26/08/2016
1686,open,XXX,aakash-cr7,23/08/2016,Null
1685,closed,XXX,timabbott,23/08/2016,25/08/2016
1684,open,XXX,showell,23/08/2016,Null
