// ID,State,Author,Comment Amount,Date (Open),Date (Close),Date (Merge)
// Date pattern: DD/MM/YYYY
// Pulls from Repository: https://github.com/github/hubot

1240,open,XXX,notpeter,23/09/2016,Null,Null
1239,open,XXX,timkinnane,21/09/2016,Null,Null
1228,open,XXX,jonfreedman,10/08/2016,Null,Null
1225,open,XXX,devashishmamgain,07/08/2016,Null,Null
1222,open,XXX,jlobos,02/08/2016,Null,Null
1221,open,XXX,alekzonder,02/08/2016,Null,Null
1215,open,XXX,ouadie-lahdioui,17/07/2016,Null,Null
1214,open,XXX,tas50,15/07/2016,Null,Null
1209,open,XXX,denisvm,30/06/2016,Null,Null
1206,closed,XXX,NiklasMerz,19/06/2016,19/06/2016,Null
1203,open,XXX,mttrs,16/06/2016,Null,Null
1202,open,XXX,scboucher,15/06/2016,Null,Null
1200,open,XXX,ivadim,10/06/2016,Null,Null
1197,closed,XXX,axeltalmet,31/05/2016,31/05/2016,Null
1196,open,XXX,MonicaG,28/05/2016,Null,Null
1189,closed,XXX,ouadie-lahdioui,14/05/2016,14/05/2016,14/05/2016
1188,closed,XXX,miketwo,10/05/2016,18/08/2016,Null
1185,closed,XXX,technicalpickles,06/05/2016,06/05/2016,06/05/2016
1174,open,XXX,tanem,24/04/2016,Null,Null
1171,closed,XXX,waydelyle,15/04/2016,06/05/2016,Null
1166,closed,XXX,MrSaints,12/04/2016,06/05/2016,06/05/2016
1164,open,XXX,vinhlh,30/03/2016,Null,Null
1162,open,XXX,gasolin,30/03/2016,Null,Null
1161,open,XXX,twellspring,29/03/2016,Null,Null
1155,open,XXX,chittunoo,22/03/2016,Null,Null
1154,open,XXX,twellspring,21/03/2016,Null,Null
1151,open,XXX,pchaigno,20/03/2016,Null,Null
1150,open,XXX,gasolin,20/03/2016,Null,Null
1149,closed,XXX,loafoe,19/03/2016,21/03/2016,21/03/2016
1148,closed,XXX,akameco,18/03/2016,06/05/2016,06/05/2016
1147,closed,XXX,KasperDeng,18/03/2016,06/05/2016,06/05/2016
1142,open,XXX,tuliomonteazul,13/03/2016,Null,Null
1136,open,XXX,MattHodge,25/02/2016,Null,Null
1135,closed,XXX,MonicaG,23/02/2016,25/02/2016,25/02/2016
1134,open,XXX,ajacksified,19/02/2016,Null,Null
1133,closed,XXX,technicalpickles,17/02/2016,25/02/2016,25/02/2016
1130,closed,XXX,pra85,05/02/2016,26/02/2016,26/02/2016
1128,open,XXX,kossnocorp,04/02/2016,Null,Null
1127,closed,XXX,jtc9921,03/02/2016,04/02/2016,Null
1123,closed,XXX,xt0rted,24/01/2016,26/02/2016,26/02/2016
1122,closed,XXX,shaunkawano,20/01/2016,20/01/2016,20/01/2016
1121,closed,XXX,technicalpickles,20/01/2016,20/01/2016,20/01/2016
1120,closed,XXX,technicalpickles,20/01/2016,20/01/2016,20/01/2016
1119,closed,XXX,sgerrand,18/01/2016,20/01/2016,20/01/2016
1116,closed,XXX,jackmawer,12/01/2016,20/01/2016,20/01/2016
1115,open,XXX,pchaigno,09/01/2016,Null,Null
1114,closed,XXX,technicalpickles,09/01/2016,09/01/2016,09/01/2016
1111,closed,XXX,technicalpickles,08/01/2016,20/01/2016,20/01/2016
1110,open,XXX,technicalpickles,08/01/2016,Null,Null
1109,closed,XXX,technicalpickles,08/01/2016,20/01/2016,20/01/2016
1106,open,XXX,gotchahn,05/01/2016,Null,Null
1104,closed,XXX,pchaigno,02/01/2016,09/01/2016,Null
1103,closed,XXX,aqnouch,01/01/2016,08/01/2016,08/01/2016
1101,closed,XXX,cycomachead,18/12/2015,08/01/2016,08/01/2016
1099,closed,XXX,philnash,17/12/2015,08/01/2016,08/01/2016
1097,closed,XXX,EllisV,12/12/2015,09/01/2016,09/01/2016
1095,closed,XXX,kauffecup,10/12/2015,20/01/2016,20/01/2016
1094,closed,XXX,mdelagrange,04/12/2015,08/01/2016,08/01/2016
1092,closed,XXX,jbick,25/11/2015,09/01/2016,09/01/2016
1091,closed,XXX,jtc9921,25/11/2015,09/01/2016,Null
1090,closed,XXX,heitorlessa,20/11/2015,20/01/2016,Null
1083,closed,XXX,bhuga,12/11/2015,13/11/2015,13/11/2015
1081,closed,XXX,bhuga,11/11/2015,20/01/2016,20/01/2016
1077,closed,XXX,scboucher,03/11/2015,13/11/2015,13/11/2015
1074,closed,XXX,msabramo,27/10/2015,27/10/2015,27/10/2015
1073,closed,XXX,Floby,27/10/2015,27/10/2015,Null
1069,closed,XXX,technicalpickles,20/10/2015,12/11/2015,12/11/2015
1068,closed,XXX,scboucher,13/10/2015,22/10/2015,22/10/2015
1066,closed,XXX,CrazyPython,12/10/2015,12/10/2015,Null
1065,closed,XXX,bhuga,12/10/2015,20/01/2016,Null
1056,open,XXX,brodul,25/09/2015,Null,Null
1054,closed,XXX,gregkare,22/09/2015,20/01/2016,Null
1052,closed,XXX,technicalpickles,16/09/2015,20/01/2016,20/01/2016
1050,closed,XXX,scboucher,15/09/2015,13/10/2015,Null
1049,closed,XXX,doque,15/09/2015,15/09/2015,15/09/2015
1048,closed,XXX,bhuga,14/09/2015,23/11/2015,Null
1043,closed,XXX,zitterbewegung,02/09/2015,02/09/2015,Null
1042,closed,XXX,xuoe,30/08/2015,31/08/2015,31/08/2015
1041,closed,XXX,davidkassa,30/08/2015,09/10/2015,09/10/2015
1039,closed,XXX,danielcompton,28/08/2015,28/08/2015,28/08/2015
1038,closed,XXX,bhuga,26/08/2015,26/08/2015,26/08/2015
1037,closed,XXX,michaelansel,26/08/2015,26/08/2015,26/08/2015
1035,closed,XXX,technicalpickles,24/08/2015,24/08/2015,24/08/2015
1033,closed,XXX,bkeepers,21/08/2015,24/08/2015,24/08/2015
1032,closed,XXX,michaelansel,14/08/2015,24/08/2015,24/08/2015
1031,open,XXX,michaelansel,14/08/2015,Null,Null
1030,closed,XXX,michaelansel,14/08/2015,14/08/2015,14/08/2015
1029,closed,XXX,michaelansel,13/08/2015,20/01/2016,Null
1028,closed,XXX,michaelansel,13/08/2015,13/08/2015,13/08/2015
1025,open,XXX,sharabash,11/08/2015,Null,Null
1021,closed,XXX,bhuga,06/08/2015,12/11/2015,12/11/2015
1020,closed,XXX,bhuga,05/08/2015,14/08/2015,14/08/2015
1019,closed,XXX,bhuga,05/08/2015,24/08/2015,24/08/2015
1017,closed,XXX,kristenmills,31/07/2015,04/08/2015,04/08/2015
1016,closed,XXX,michaelansel,31/07/2015,31/07/2015,31/07/2015
1012,closed,XXX,alininja,24/07/2015,09/10/2015,09/10/2015
