1974,open,XXX,christi3k,11/10/2016,Null,Null
1973,open,XXX,brockwhittaker,11/10/2016,Null,Null
1972,open,XXX,sup95,11/10/2016,Null,Null
1971,open,XXX,christi3k,11/10/2016,Null,Null
1970,open,XXX,rishig,11/10/2016,Null,Null
1966,open,XXX,kou,11/10/2016,Null,Null
1965,open,XXX,kou,11/10/2016,Null,Null
1964,closed,XXX,kou,11/10/2016,11/10/2016,11/10/2016
1963,open,XXX,umairwaheed,11/10/2016,Null,Null
1962,closed,XXX,sharmaeklavya2,11/10/2016,11/10/2016,Null
1961,closed,XXX,sharmaeklavya2,11/10/2016,11/10/2016,Null
1960,open,XXX,umairwaheed,11/10/2016,Null,Null
1958,closed,XXX,timabbott,11/10/2016,11/10/2016,Null
1954,open,XXX,devstorm21,10/10/2016,Null,Null
1953,closed,XXX,reyha,10/10/2016,10/10/2016,Null
1952,open,XXX,kkanahin,10/10/2016,Null,Null
1951,open,XXX,femnad,10/10/2016,Null,Null
1949,open,XXX,showell,10/10/2016,Null,Null
1946,closed,XXX,kkanahin,10/10/2016,10/10/2016,Null
1945,open,XXX,umairwaheed,10/10/2016,Null,Null
1944,closed,XXX,bcroq,10/10/2016,10/10/2016,Null
1943,closed,XXX,umairwaheed,10/10/2016,10/10/2016,Null
1942,closed,XXX,kou,10/10/2016,10/10/2016,Null
1940,closed,XXX,kou,10/10/2016,10/10/2016,Null
1939,open,XXX,deekshaarul,09/10/2016,Null,Null
1938,closed,XXX,kou,09/10/2016,09/10/2016,Null
1937,closed,XXX,Katy310,09/10/2016,10/10/2016,Null
1936,closed,XXX,sonali0901,09/10/2016,09/10/2016,Null
1935,open,XXX,sup95,09/10/2016,Null,Null
1933,closed,XXX,devstorm21,08/10/2016,10/10/2016,Null
1931,closed,XXX,sharmaeklavya2,07/10/2016,07/10/2016,Null
1930,closed,XXX,showell,07/10/2016,07/10/2016,Null
1929,closed,XXX,umairwaheed,07/10/2016,10/10/2016,Null
1928,open,XXX,sonali0901,07/10/2016,Null,Null
1927,closed,XXX,umairwaheed,07/10/2016,10/10/2016,Null
1926,closed,XXX,rishig,07/10/2016,08/10/2016,Null
1925,closed,XXX,rishig,07/10/2016,08/10/2016,Null
1924,closed,XXX,timabbott,07/10/2016,07/10/2016,Null
1923,open,XXX,rishig,07/10/2016,Null,Null
