year,week,count,sum
2013,46,2,2
2013,47,50,52
2013,48,31,83
2014,1,14,97
2014,2,28,125
2014,3,36,161
2014,4,36,197
2014,5,27,224
2014,6,24,248
2014,7,13,261
2014,8,20,281
2014,9,19,300
2014,10,17,317
2014,11,17,334
2014,12,15,349
2014,13,23,372
2014,14,22,394
2014,15,25,419
2014,16,18,437
2014,17,28,465
2014,18,16,481
2014,19,27,508
2014,20,14,522
2014,21,29,551
2014,22,18,569
2014,23,18,587
2014,24,29,616
2014,25,14,630
2014,26,22,652
2014,27,16,668
2014,28,17,685
2014,29,28,713
2014,30,12,725
2014,31,19,744
2014,32,26,770
2014,33,21,791
2014,34,16,807
2014,35,23,830
2014,36,35,865
2014,37,27,892
2014,38,50,942
2014,39,44,986
2014,40,29,1015
2014,41,43,1058
2014,42,26,1084
2014,43,34,1118
2014,44,16,1134
2014,45,33,1167
2014,46,20,1187
2014,47,23,1210
2014,48,25,1235
2015,1,13,1248
2015,2,26,1274
2015,3,25,1299
2015,4,22,1321
2015,5,43,1364
2015,6,37,1401
2015,7,21,1422
2015,8,18,1440
2015,9,24,1464
2015,10,31,1495
2015,11,39,1534
2015,12,27,1561
2015,13,44,1605
2015,14,26,1631
2015,15,27,1658
2015,16,29,1687
2015,17,32,1719
2015,18,33,1752
2015,19,23,1775
2015,20,24,1799
2015,21,49,1848
2015,22,27,1875
2015,23,30,1905
2015,24,25,1930
2015,25,27,1957
2015,26,25,1982
2015,27,20,2002
2015,28,18,2020
2015,29,33,2053
2015,30,23,2076
2015,31,19,2095
2015,32,27,2122
2015,33,22,2144
2015,34,34,2178
2015,35,33,2211
2015,36,23,2234
2015,37,20,2254
2015,38,21,2275
2015,39,21,2296
2015,40,15,2311
2015,41,47,2358
2015,42,25,2383
2015,43,30,2413
2015,44,28,2441
2015,45,22,2463
2015,46,21,2484
2015,47,22,2506
2015,48,28,2534
2016,1,16,2550
2016,2,16,2566
2016,3,34,2600
2016,4,31,2631
2016,5,42,2673
2016,6,12,2685
2016,7,27,2712
2016,8,19,2731
2016,9,30,2761
2016,10,21,2782
2016,11,29,2811
2016,12,21,2832
2016,13,36,2868
2016,14,40,2908
2016,15,34,2942
2016,16,24,2966
2016,17,25,2991
2016,18,22,3013
2016,19,28,3041
2016,20,17,3058
2016,21,27,3085
2016,22,14,3099
2016,23,23,3122
2016,24,24,3146
2016,25,33,3179
2016,26,27,3206
2016,27,33,3239
2016,28,27,3266
2016,29,37,3303
2016,30,19,3322
2016,31,20,3342
2016,32,20,3362
2016,33,26,3388
2016,34,24,3412
2016,35,14,3426
2016,36,21,3447
2016,37,20,3467
2016,38,24,3491
2016,39,23,3514
2016,40,21,3535
2016,41,25,3560
2016,42,13,3573
2016,43,21,3594
2016,44,25,3619
2016,45,23,3642
2016,46,19,3661
2016,47,22,3683
2016,48,21,3704
2017,1,18,3722
2017,2,23,3745
2017,3,21,3766
2017,4,21,3787
2017,5,17,3804
2017,6,19,3823
2017,7,28,3851
2017,8,19,3870
2017,9,22,3892
2017,10,22,3914
2017,11,27,3941
2017,12,32,3973
2017,13,30,4003
2017,14,22,4025
2017,15,19,4044
2017,16,23,4067
2017,17,20,4087
2017,18,20,4107
