year,week,count,sum,
2012,3,1,1,
2012,4,0,1,
2012,5,0,1,
2012,6,0,1,
2012,7,0,1,
2012,8,0,1,
2012,9,0,1,
2012,10,0,1,
2012,11,0,1,
2012,12,0,1,
2012,13,0,1,
2012,14,0,1,
2012,15,0,1,
2012,16,0,1,
2012,17,0,1,
2012,18,0,1,
2012,19,0,1,
2012,20,0,1,
2012,21,0,1,
2012,22,0,1,
2012,23,0,1,
2012,24,0,1,
2012,25,0,1,
2012,26,0,1,
2012,27,0,1,
2012,28,0,1,
2012,29,0,1,
2012,30,0,1,
2012,31,0,1,
2012,32,0,1,
2012,33,0,1,
2012,34,0,1,
2012,35,0,1,
2012,36,0,1,
2012,37,0,1,
2012,38,0,1,
2012,39,0,1,
2012,40,0,1,
2012,41,0,1,
2012,42,0,1,
2012,43,0,1,
2012,44,0,1,
2012,45,0,1,
2012,46,0,1,
2012,47,0,1,
2012,48,0,1,
2013,1,0,1,
2013,2,0,1,
2013,3,0,1,
2013,4,0,1,
2013,5,0,1,
2013,6,0,1,
2013,7,0,1,
2013,8,0,1,
2013,9,0,1,
2013,10,0,1,
2013,11,0,1,
2013,12,0,1,
2013,13,1,2,
2013,14,0,2,
2013,15,0,2,
2013,16,1,3,
2013,17,0,3,
2013,18,0,3,
2013,19,0,3,
2013,20,0,3,
2013,21,0,3,
2013,22,0,3,
2013,23,0,3,
2013,24,0,3,
2013,25,0,3,
2013,26,0,3,
2013,27,0,3,
2013,28,0,3,
2013,29,0,3,
2013,30,0,3,
2013,31,0,3,
2013,32,0,3,
2013,33,0,3,
2013,34,0,3,
2013,35,0,3,
2013,36,0,3,
2013,37,0,3,
2013,38,0,3,
2013,39,0,3,
2013,40,0,3,
2013,41,0,3,
2013,42,0,3,
2013,43,0,3,
2013,44,0,3,
2013,45,0,3,
2013,46,0,3,
2013,47,0,3,
2013,48,0,3,
2014,1,0,3,
2014,2,0,3,
2014,3,0,3,
2014,4,0,3,
2014,5,0,3,
2014,6,0,3,
2014,7,0,3,
2014,8,1,4,
2014,9,1,5,
2014,10,0,5,
2014,11,0,5,
2014,12,0,5,
2014,13,0,5,
2014,14,1,6,
2014,15,0,6,
2014,16,0,6,
2014,17,1285,1291,MIGRATION!
2014,18,3013,4304,
2014,19,522,4826,
2014,20,291,5117,
2014,21,305,5422,
2014,22,156,5578,
2014,23,154,5732,
2014,24,165,5897,
2014,25,209,6106,
2014,26,288,6394,
2014,27,149,6543,
2014,28,138,6681,
2014,29,168,6849,
2014,30,118,6967,
2014,31,144,7111,
2014,32,134,7245,
2014,33,215,7460,
2014,34,116,7576,
2014,35,109,7685,
2014,36,115,7800,
2014,37,152,7952,
2014,38,479,8431,
2014,39,255,8686,
2014,40,188,8874,
2014,41,289,9163,
2014,42,178,9341,
2014,43,135,9476,
2014,44,136,9612,
2014,45,169,9781,
2014,46,147,9928,
2014,47,137,10065,
2014,48,139,10204,
2015,1,98,10302,
2015,2,133,10435,
2015,3,137,10572,
2015,4,173,10745,
2015,5,423,11168,
2015,6,192,11360,
2015,7,149,11509,
2015,8,207,11716,
2015,9,227,11943,
2015,10,188,12131,
2015,11,165,12296,
2015,12,195,12491,
2015,13,280,12771,
2015,14,190,12961,
2015,15,195,13156,
2015,16,222,13378,
2015,17,368,13746,
2015,18,235,13981,
2015,19,280,14261,
2015,20,204,14465,
2015,21,302,14767,
2015,22,198,14965,
2015,23,189,15154,
2015,24,916,16070,
2015,25,782,16852,
2015,26,264,17116,
2015,27,224,17340,
2015,28,197,17537,
2015,29,257,17794,
2015,30,175,17969,
2015,31,170,18139,
2015,32,142,18281,
2015,33,245,18526,
2015,34,172,18698,
2015,35,178,18876,
2015,36,169,19045,
2015,37,234,19279,
2015,38,190,19469,
2015,39,201,19670,
2015,40,169,19839,
2015,41,325,20164,
2015,42,197,20361,
2015,43,246,20607,
2015,44,180,20787,
2015,45,546,21333,
2015,46,241,21574,
2015,47,206,21780,
2015,48,153,21933,
2016,1,135,22068,
2016,2,221,22289,
2016,3,291,22580,
2016,4,229,22809,
2016,5,351,23160,
2016,6,215,23375,
2016,7,189,23564,
2016,8,172,23736,
2016,9,197,23933,
2016,10,215,24148,
2016,11,218,24366,
2016,12,220,24586,
2016,13,367,24953,
2016,14,205,25158,
2016,15,308,25466,
2016,16,228,25694,
2016,17,250,25944,
2016,18,209,26153,
2016,19,202,26355,
2016,20,220,26575,
2016,21,276,26851,
2016,22,231,27082,
2016,23,180,27262,
2016,24,171,27433,
2016,25,210,27643,
2016,26,189,27832,
2016,27,171,28003,
2016,28,162,28165,
2016,29,316,28481,
2016,30,197,28678,
2016,31,189,28867,
2016,32,206,29073,
2016,33,276,29349,
2016,34,172,29521,
2016,35,183,29704,
2016,36,243,29947,
2016,37,245,30192,
2016,38,242,30434,
2016,39,233,30667,
2016,40,211,30878,
2016,41,295,31173,
2016,42,213,31386,
2016,43,208,31594,
2016,44,181,31775,
2016,45,238,32013,
2016,46,192,32205,
2016,47,197,32402,
2016,48,155,32557,
2017,1,190,32747,
2017,2,215,32962,
2017,3,250,33212,
2017,4,222,33434,
2017,5,272,33706,
2017,6,219,33925,
2017,7,229,34154,
2017,8,236,34390,
2017,9,240,34630,
2017,10,191,34821,
2017,11,202,35023,
2017,12,225,35248,
2017,13,246,35494,
2017,14,212,35706,
2017,15,199,35905,
2017,16,158,36063,
2017,17,213,36276,
2017,18,192,36468,
