year,week,count,sum,
2015,10,66,66,MIGRATED TO GH
2015,11,79,145,
2015,12,58,203,
2015,13,85,288,
2015,14,61,349,
2015,15,53,402,
2015,16,164,566,
2015,17,183,749,
2015,18,77,826,
2015,19,48,874,
2015,20,54,928,
2015,21,63,991,
2015,22,38,1029,
2015,23,37,1066,
2015,24,36,1102,
2015,25,45,1147,
2015,26,35,1182,
2015,27,61,1243,
2015,28,132,1375,
2015,29,96,1471,
2015,30,53,1524,
2015,31,43,1567,
2015,32,51,1618,
2015,33,89,1707,
2015,34,61,1768,
2015,35,41,1809,
2015,36,52,1861,
2015,37,73,1934,
2015,38,50,1984,
2015,39,57,2041,
2015,40,49,2090,
2015,41,82,2172,
2015,42,44,2216,
2015,43,74,2290,
2015,44,39,2329,
2015,45,90,2419,
2015,46,78,2497,
2015,47,56,2553,
2015,48,46,2599,
2016,1,45,2644,
2016,2,47,2691,
2016,3,44,2735,
2016,4,60,2795,
2016,5,62,2857,
2016,6,37,2894,
2016,7,26,2920,
2016,8,42,2962,
2016,9,79,3041,
2016,10,54,3095,
2016,11,45,3140,
2016,12,40,3180,
2016,13,91,3271,
2016,14,57,3328,
2016,15,70,3398,
2016,16,53,3451,
2016,17,71,3522,
2016,18,67,3589,
2016,19,47,3636,
2016,20,49,3685,
2016,21,88,3773,
2016,22,160,3933,
2016,23,136,4069,
2016,24,53,4122,
2016,25,104,4226,
2016,26,60,4286,
2016,27,40,4326,
2016,28,49,4375,
2016,29,63,4438,
2016,30,36,4474,
2016,31,42,4516,
2016,32,63,4579,
2016,33,71,4650,
2016,34,42,4692,
2016,35,31,4723,
2016,36,42,4765,
2016,37,59,4824,
2016,38,45,4869,
2016,39,43,4912,
2016,40,40,4952,
2016,41,44,4996,
2016,42,30,5026,
2016,43,43,5069,
2016,44,66,5135,
2016,45,54,5189,
2016,46,29,5218,
2016,47,45,5263,
2016,48,42,5305,
2017,1,45,5350,
2017,2,48,5398,
2017,3,27,5425,
2017,4,36,5461,
2017,5,66,5527,
2017,6,46,5573,
2017,7,57,5630,
2017,8,52,5682,
2017,9,51,5733,
2017,10,47,5780,
2017,11,50,5830,
2017,12,44,5874,
2017,13,74,5948,
2017,14,42,5990,
2017,15,30,6020,
2017,16,41,6061,
2017,17,35,6096,
2017,18,40,6136,
