year,week,count,sum
2010,1,1032,1032
2010,2,15,1047
2010,3,26,1073
2010,4,29,1102
2010,5,120,1222
2010,6,80,1302
2010,7,30,1332
2010,8,32,1364
2010,9,19,1383
2010,10,18,1401
2010,11,25,1426
2010,12,27,1453
2010,13,30,1483
2010,14,27,1510
2010,15,13,1523
2010,16,22,1545
2010,17,36,1581
2010,18,24,1605
2010,19,20,1625
2010,20,25,1650
2010,21,40,1690
2010,22,18,1708
2010,23,23,1731
2010,24,18,1749
2010,25,31,1780
2010,26,18,1798
2010,27,15,1813
2010,28,23,1836
2010,29,42,1878
2010,30,17,1895
2010,31,24,1919
2010,32,16,1935
2010,33,22,1957
2010,34,13,1970
2010,35,42,2012
2010,36,25,2037
2010,37,24,2061
2010,38,18,2079
2010,39,30,2109
2010,40,32,2141
2010,41,29,2170
2010,42,28,2198
2010,43,15,2213
2010,44,24,2237
2010,45,29,2266
2010,46,37,2303
2010,47,24,2327
2010,48,10,2337
2011,1,14,2351
2011,2,25,2376
2011,3,22,2398
2011,4,27,2425
2011,5,35,2460
2011,6,27,2487
2011,7,31,2518
2011,8,30,2548
2011,9,28,2576
2011,10,29,2605
2011,11,20,2625
2011,12,32,2657
2011,13,49,2706
2011,14,27,2733
2011,15,27,2760
2011,16,35,2795
2011,17,45,2840
2011,18,22,2862
2011,19,18,2880
2011,20,24,2904
2011,21,30,2934
2011,22,15,2949
2011,23,27,2976
2011,24,36,3012
2011,25,35,3047
2011,26,14,3061
2011,27,29,3090
2011,28,18,3108
2011,29,22,3130
2011,30,24,3154
2011,31,19,3173
2011,32,18,3191
2011,33,31,3222
2011,34,27,3249
2011,35,22,3271
2011,36,23,3294
2011,37,29,3323
2011,38,20,3343
2011,39,32,3375
2011,40,19,3394
2011,41,22,3416
2011,42,17,3433
2011,43,23,3456
2011,44,16,3472
2011,45,30,3502
2011,46,28,3530
2011,47,21,3551
2011,48,10,3561
2012,1,17,3578
2012,2,29,3607
2012,3,18,3625
2012,4,18,3643
2012,5,22,3665
2012,6,20,3685
2012,7,12,3697
2012,8,28,3725
2012,9,20,3745
2012,10,13,3758
2012,11,15,3773
2012,12,16,3789
2012,13,26,3815
2012,14,15,3830
2012,15,15,3845
2012,16,14,3859
2012,17,16,3875
2012,18,7,3882
2012,19,15,3897
2012,20,19,3916
2012,21,18,3934
2012,22,11,3945
2012,23,16,3961
2012,24,7,3968
2012,25,8,3976
2012,26,17,3993
2012,27,17,4010
2012,28,3,4013
2012,29,13,4026
2012,30,8,4034
2012,31,6,4040
2012,32,4,4044
2012,33,10,4054
2012,34,10,4064
2012,35,4,4068
2012,36,2,4070
2012,37,1,4071
2012,38,4,4075
2012,39,3,4078
2012,40,5,4083
2012,41,2,4085
2012,42,3,4088
2012,43,1,4089
2012,44,4,4093
2012,45,3,4096
2012,46,0,4096
2012,47,3,4099
2012,48,2,4101
2013,1,0,4101
2013,2,2,4103
2013,3,2,4105
2013,4,1,4106
2013,5,1,4107
2013,6,8,4115
2013,7,18,4133
2013,8,18,4151
2013,9,25,4176
2013,10,30,4206
2013,11,24,4230
2013,12,25,4255
2013,13,26,4281
2013,14,36,4317
2013,15,26,4343
2013,16,30,4373
2013,17,21,4394
2013,18,29,4423
2013,19,28,4451
2013,20,26,4477
2013,21,51,4528
2013,22,66,4594
2013,23,60,4654
2013,24,32,4686
2013,25,38,4724
2013,26,22,4746
2013,27,26,4772
2013,28,53,4825
2013,29,152,4977
2013,30,51,5028
2013,31,36,5064
2013,32,45,5109
2013,33,46,5155
2013,34,45,5200
2013,35,54,5254
2013,36,33,5287
2013,37,60,5347
2013,38,43,5390
2013,39,48,5438
