year,week,count,sum
2012,3,1,1
2012,4,0,1
2012,5,0,1
2012,6,0,1
2012,7,0,1
2012,8,0,1
2012,9,0,1
2012,10,0,1
2012,11,0,1
2012,12,0,1
2012,13,0,1
2012,14,0,1
2012,15,0,1
2012,16,0,1
2012,17,0,1
2012,18,0,1
2012,19,0,1
2012,20,0,1
2012,21,0,1
2012,22,0,1
2012,23,0,1
2012,24,0,1
2012,25,0,1
2012,26,0,1
2012,27,0,1
2012,28,0,1
2012,29,0,1
2012,30,0,1
2012,31,0,1
2012,32,0,1
2012,33,0,1
2012,34,0,1
2012,35,0,1
2012,36,0,1
2012,37,0,1
2012,38,0,1
2012,39,0,1
2012,40,0,1
2012,41,0,1
2012,42,0,1
2012,43,0,1
2012,44,0,1
2012,45,0,1
2012,46,0,1
2012,47,0,1
2012,48,0,1
2012,49,0,1
2012,50,0,1
2012,51,0,1
2012,52,0,1
2013,1,0,1
2013,2,0,1
2013,3,0,1
2013,4,0,1
2013,5,0,1
2013,6,0,1
2013,7,0,1
2013,8,0,1
2013,9,0,1
2013,10,0,1
2013,11,0,1
2013,12,0,1
2013,13,0,1
2013,14,1,2
2013,15,0,2
2013,16,0,2
2013,17,1,3
2013,18,0,3
2013,19,0,3
2013,20,0,3
2013,21,0,3
2013,22,0,3
2013,23,0,3
2013,24,0,3
2013,25,0,3
2013,26,0,3
2013,27,0,3
2013,28,0,3
2013,29,0,3
2013,30,0,3
2013,31,0,3
2013,32,0,3
2013,33,0,3
2013,34,0,3
2013,35,0,3
2013,36,0,3
2013,37,0,3
2013,38,0,3
2013,39,0,3
2013,40,0,3
2013,41,0,3
2013,42,0,3
2013,43,0,3
2013,44,0,3
2013,45,0,3
2013,46,0,3
2013,47,0,3
2013,48,0,3
2013,49,0,3
2013,50,0,3
2013,51,0,3
2013,52,0,3
2014,1,0,3
2014,2,0,3
2014,3,0,3
2014,4,0,3
2014,5,0,3
2014,6,0,3
2014,7,0,3
2014,8,0,3
2014,9,2,5
2014,10,0,5
2014,11,0,5
2014,12,0,5
2014,13,0,5
2014,14,0,5
2014,15,1,6
2014,16,0,6
2014,17,0,6
2014,18,0,6
2014,19,3981,3987
2014,20,852,4839
2014,21,341,5180
2014,22,226,5406
2014,23,198,5604
2014,24,154,5758
2014,25,165,5923
2014,26,147,6070
2014,27,197,6267
2014,28,292,6559
2014,29,154,6713
2014,30,136,6849
2014,31,116,6965
2014,32,110,7075
2014,33,145,7220
2014,34,141,7361
2014,35,148,7509
2014,36,152,7661
2014,37,127,7788
2014,38,106,7894
2014,39,121,8015
2014,40,134,8149
2014,41,469,8618
2014,42,267,8885
2014,43,191,9076
2014,44,228,9304
2014,45,170,9474
2014,46,185,9659
2014,47,126,9785
2014,48,143,9928
2014,49,129,10057
2014,50,155,10212
2014,51,141,10353
2014,52,141,10494
2015,1,105,10599
2015,2,139,10738
2015,3,146,10884
2015,4,153,11037
2015,5,202,11239
2015,6,353,11592
2015,7,186,11778
2015,8,152,11930
2015,9,237,12167
2015,10,220,12387
2015,11,203,12590
2015,12,148,12738
2015,13,239,12977
2015,14,213,13190
2015,15,181,13371
2015,16,204,13575
2015,17,229,13804
2015,18,311,14115
2015,19,268,14383
2015,20,256,14639
2015,21,237,14876
2015,22,193,15069
2015,23,231,15300
2015,24,203,15503
2015,25,185,15688
2015,26,1098,16786
2015,27,614,17400
2015,28,266,17666
2015,29,242,17908
2015,30,212,18120
2015,31,194,18314
2015,32,171,18485
2015,33,185,18670
2015,34,153,18823
2015,35,155,18978
2015,36,196,19174
2015,37,173,19347
2015,38,190,19537
2015,39,174,19711
2015,40,188,19899
2015,41,189,20088
2015,42,208,20296
2015,43,183,20479
2015,44,219,20698
2015,45,229,20927
2015,46,213,21140
2015,47,261,21401
2015,48,206,21607
2015,49,508,22115
2015,50,256,22371
2015,51,212,22583
2015,52,163,22746
2015,53,155,22901
2016,1,210,23111
2016,2,317,23428
2016,3,228,23656
2016,4,245,23901
2016,5,273,24174
2016,6,214,24388
2016,7,207,24595
2016,8,177,24772
2016,9,195,24967
2016,10,228,25195
2016,11,235,25430
2016,12,234,25664
2016,13,304,25968
2016,14,195,26163
2016,15,321,26484
2016,16,255,26739
2016,17,219,26958
2016,18,200,27158
2016,19,232,27390
2016,20,223,27613
2016,21,230,27843
2016,22,215,28058
2016,23,243,28301
2016,24,194,28495
2016,25,196,28691
2016,26,177,28868
2016,27,164,29032
2016,28,200,29232
2016,29,195,29427
2016,30,153,29580
2016,31,295,29875
2016,32,197,30072
2016,33,207,30279
2016,34,0,30279
