year,week,count,sum
2015,41,1,1
2015,42,0,1
2015,43,2289,2290
2015,44,907,3197
2015,45,178,3375
2015,46,180,3555
2015,47,91,3646
2015,48,82,3728
2016,1,32,3760
2016,2,39,3799
2016,3,50,3849
2016,4,54,3903
2016,5,96,3999
2016,6,41,4040
2016,7,40,4080
2016,8,39,4119
2016,9,42,4161
2016,10,35,4196
2016,11,42,4238
2016,12,43,4281
2016,13,71,4352
2016,14,46,4398
2016,15,47,4445
2016,16,45,4490
2016,17,46,4536
2016,18,27,4563
2016,19,36,4599
2016,20,46,4645
2016,21,61,4706
2016,22,45,4751
2016,23,44,4795
2016,24,36,4831
2016,25,54,4885
2016,26,33,4918
2016,27,32,4950
2016,28,38,4988
2016,29,46,5034
2016,30,45,5079
2016,31,39,5118
2016,32,34,5152
2016,33,77,5229
2016,34,45,5274
