year,week,count,sum
2013,45,0,0
2013,46,0,0
2013,47,0,0
2013,48,0,0
2013,49,1,1
2013,50,13,14
2013,51,44,58
2013,52,29,87
2014,1,16,103
2014,2,26,129
2014,3,38,167
2014,4,32,199
2014,5,22,221
2014,6,16,237
2014,7,27,264
2014,8,18,282
2014,9,12,294
2014,10,21,315
2014,11,17,332
2014,12,13,345
2014,13,19,364
2014,14,18,382
2014,15,23,405
2014,16,25,430
2014,17,19,449
2014,18,21,470
2014,19,20,490
2014,20,17,507
2014,21,22,529
2014,22,20,549
2014,23,19,568
2014,24,19,587
2014,25,27,614
2014,26,21,635
2014,27,11,646
2014,28,22,668
2014,29,17,685
2014,30,18,703
2014,31,18,721
2014,32,19,740
2014,33,14,754
2014,34,23,777
2014,35,21,798
2014,36,20,818
2014,37,16,834
2014,38,25,859
2014,39,33,892
2014,40,24,916
2014,41,52,968
2014,42,38,1006
2014,43,32,1038
2014,44,29,1067
2014,45,33,1100
2014,46,29,1129
2014,47,26,1155
2014,48,21,1176
2014,49,29,1205
2014,50,18,1223
2014,51,21,1244
2014,52,28,1272
2015,1,28,1300
2015,2,21,1321
2015,3,31,1352
2015,4,20,1372
2015,5,24,1396
2015,6,41,1437
2015,7,27,1464
2015,8,20,1484
2015,9,22,1506
2015,10,30,1536
2015,11,33,1569
2015,12,36,1605
2015,13,28,1633
2015,14,33,1666
2015,15,32,1698
2015,16,25,1723
2015,17,30,1753
2015,18,20,1773
2015,19,26,1799
2015,20,32,1831
2015,21,30,1861
2015,22,27,1888
2015,23,32,1920
2015,24,30,1950
2015,25,29,1979
2015,26,25,2004
2015,27,23,2027
2015,28,24,2051
2015,29,21,2072
2015,30,19,2091
2015,31,27,2118
2015,32,17,2135
2015,33,26,2161
2015,34,16,2177
2015,35,27,2204
2015,36,18,2222
2015,37,33,2255
2015,38,32,2287
2015,39,24,2311
2015,40,16,2327
2015,41,19,2346
2015,42,22,2368
2015,43,19,2387
2015,44,25,2412
2015,45,34,2446
2015,46,24,2470
2015,47,28,2498
2015,48,27,2525
2015,49,19,2544
2015,50,21,2565
2015,51,23,2588
2015,52,27,2615
2015,53,17,2632
2016,1,19,2651
2016,2,20,2671
2016,3,42,2713
2016,4,28,2741
2016,5,31,2772
2016,6,16,2788
2016,7,22,2810
2016,8,20,2830
2016,9,29,2859
2016,10,22,2881
2016,11,29,2910
2016,12,23,2933
2016,13,29,2962
2016,14,24,2986
2016,15,44,3030
2016,16,28,3058
2016,17,28,3086
2016,18,20,3106
2016,19,19,3125
2016,20,29,3154
2016,21,17,3171
2016,22,22,3193
2016,23,16,3209
2016,24,21,3230
2016,25,24,3254
2016,26,24,3278
2016,27,29,3307
2016,28,29,3336
2016,29,32,3368
2016,30,27,3395
2016,31,27,3422
2016,32,19,3441
2016,33,24,3465
2016,34,0,3465
