year,week,count,sum
2015,43,0,0
2015,44,2,2
2015,45,10,12
2015,46,2,14
2015,47,1,15
2015,48,0,15
2015,49,18824,18839
2015,50,3594,22433
2015,51,1100,23533
2015,52,512,24045
2015,53,374,24419
2016,1,461,24880
2016,2,341,25221
2016,3,275,25496
2016,4,263,25759
2016,5,194,25953
2016,6,225,26178
2016,7,232,26410
2016,8,325,26735
2016,9,241,26976
2016,10,231,27207
2016,11,199,27406
2016,12,327,27733
2016,13,202,27935
2016,14,314,28249
2016,15,688,28937
2016,16,386,29323
2016,17,256,29579
2016,18,210,29789
2016,19,356,30145
2016,20,205,30350
2016,21,237,30587
2016,22,221,30808
2016,23,236,31044
2016,24,531,31575
2016,25,238,31813
2016,26,239,32052
2016,27,200,32252
2016,28,170,32422
2016,29,177,32599
2016,30,257,32856
2016,31,259,33115
2016,32,211,33326
2016,33,170,33496
2016,34,1,33497
