year,week,count,sum
2015,39,1493,1493
2015,40,1162,2655
2015,41,219,2874
2015,42,140,3014
2015,43,78,3092
2015,44,80,3172
2015,45,58,3230
2015,46,71,3301
2015,47,25,3326
2015,48,34,3360
2015,49,22,3382
2015,50,24,3406
2015,51,26,3432
2015,52,15,3447
2015,53,13,3460
2016,1,26,3486
2016,2,15,3501
2016,3,22,3523
2016,4,19,3542
2016,5,20,3562
2016,6,14,3576
2016,7,29,3605
2016,8,23,3628
2016,9,30,3658
2016,10,28,3686
2016,11,21,3707
2016,12,19,3726
2016,13,15,3741
2016,14,12,3753
2016,15,16,3769
2016,16,19,3788
2016,17,17,3805
2016,18,8,3813
2016,19,11,3824
2016,20,11,3835
2016,21,13,3848
2016,22,13,3861
2016,23,10,3871
2016,24,13,3884
2016,25,13,3897
2016,26,7,3904
2016,27,16,3920
2016,28,34,3954
2016,29,20,3974
2016,30,10,3984
2016,31,12,3996
2016,32,15,4011
2016,33,13,4024
2016,34,0,4024
