year,week,count,sum
2015,41,1,1
2015,42,0,1
2015,43,2259,2260
2015,44,886,3146
2015,45,176,3322
2015,46,174,3496
2015,47,89,3585
2015,48,81,3666
2016,1,32,3698
2016,2,39,3737
2016,3,50,3787
2016,4,53,3840
2016,5,93,3933
2016,6,39,3972
2016,7,40,4012
2016,8,39,4051
2016,9,42,4093
2016,10,35,4128
2016,11,40,4168
2016,12,43,4211
2016,13,71,4282
2016,14,45,4327
2016,15,47,4374
2016,16,45,4419
2016,17,46,4465
2016,18,25,4490
2016,19,36,4526
2016,20,46,4572
2016,21,60,4632
2016,22,43,4675
2016,23,42,4717
2016,24,36,4753
2016,25,53,4806
2016,26,34,4840
2016,27,31,4871
2016,28,38,4909
2016,29,45,4954
2016,30,43,4997
2016,31,38,5035
2016,32,34,5069
2016,33,73,5142
2016,34,45,5187
2016,35,30,5217
2016,36,38,5255
2016,37,57,5312
2016,38,29,5341
2016,39,23,5364
2016,40,27,5391
2016,41,35,5426
2016,42,28,5454
2016,43,27,5481
2016,44,29,5510
2016,45,35,5545
2016,46,22,5567
2016,47,32,5599
2016,48,22,5621
2017,1,15,5636
2017,2,30,5666
2017,3,23,5689
2017,4,15,5704
2017,5,31,5735
2017,6,40,5775
2017,7,40,5815
2017,8,39,5854
2017,9,38,5892
2017,10,37,5929
2017,11,35,5964
2017,12,46,6010
2017,13,57,6067
2017,14,42,6109
2017,15,28,6137
2017,16,28,6165
2017,17,43,6208
2017,18,18,6226
