Page: 1
https://api.github.com/repos/apple/swift/stargazers?page=1&access_token=8c2bc79c047f26f92f1a46ed52d6b1b47b9565c5
<Response [200]>
2015-10-26T19:33:04Z - mxcl
2015-10-31T04:57:02Z - gottesmm
2015-11-02T17:33:23Z - stephentyrone
2015-11-02T17:40:12Z - DougGregor
2015-11-03T18:57:55Z - emish
2015-11-03T20:26:55Z - bitjammer
2015-11-03T22:25:56Z - kubamracek
2015-11-03T23:15:24Z - tkremenek
2015-11-04T06:41:43Z - lattner
2015-11-04T19:28:33Z - ddunbar
2015-11-04T21:34:07Z - jckarter
2015-11-10T20:54:24Z - vedantk
2015-11-13T16:33:23Z - pbohrer
2015-11-18T19:14:51Z - parkera
2015-12-02T09:16:57Z - gribozavr
2015-12-03T16:45:10Z - ulrikdamm
2015-12-03T16:45:11Z - Dnld
2015-12-03T16:45:11Z - back2mach
2015-12-03T16:45:12Z - Kirin-Chan
2015-12-03T16:45:12Z - jurre
2015-12-03T16:45:15Z - mattiasjahnke
2015-12-03T16:45:15Z - DavdRoman
2015-12-03T16:45:15Z - udaykadaboina
2015-12-03T16:45:16Z - maxrimue
2015-12-03T16:45:16Z - Rican7
2015-12-03T16:45:17Z - craigcabrey
2015-12-03T16:45:17Z - paulofaria
2015-12-03T16:45:18Z - alladinian
2015-12-03T16:45:18Z - Econa77
2015-12-03T16:45:18Z - nickmccurdy
Page: 2
https://api.github.com/repos/apple/swift/stargazers?page=2&access_token=8c2bc79c047f26f92f1a46ed52d6b1b47b9565c5
<Response [200]>
2015-12-03T16:45:20Z - melvinbeemer
2015-12-03T16:45:22Z - Jamil
2015-12-03T16:45:22Z - kristenmills
2015-12-03T16:45:23Z - madbat
2015-12-03T16:45:24Z - tobihagemann
2015-12-03T16:45:25Z - skyweb07
2015-12-03T16:45:26Z - czechboy0
2015-12-03T16:45:27Z - swilliams
2015-12-03T16:45:27Z - JasonCC
2015-12-03T16:45:28Z - jaherhi
2015-12-03T16:45:29Z - overheadhunter
2015-12-03T16:45:30Z - kiliankoe
2015-12-03T16:45:30Z - slycrel
2015-12-03T16:45:30Z - WeZZard
2015-12-03T16:45:31Z - dalbin
2015-12-03T16:45:31Z - dusek
2015-12-03T16:45:32Z - CodaFi
2015-12-03T16:45:32Z - abackys
2015-12-03T16:45:34Z - nickoneill
2015-12-03T16:45:36Z - tarebyte
2015-12-03T16:45:38Z - rabidpraxis
2015-12-03T16:45:40Z - ken0nek
2015-12-03T16:45:40Z - akshaynhegde
2015-12-03T16:45:40Z - RabugenTom
2015-12-03T16:45:41Z - krzysztofzablocki
2015-12-03T16:45:42Z - a7m
2015-12-03T16:45:43Z - alikaragoz
2015-12-03T16:45:45Z - andreamazz
2015-12-03T16:45:45Z - vampirewalk
2015-12-03T16:45:45Z - rafaelks
Page: 3
https://api.github.com/repos/apple/swift/stargazers?page=3&access_token=8c2bc79c047f26f92f1a46ed52d6b1b47b9565c5
<Response [200]>
2015-12-03T16:45:45Z - tomash345
2015-12-03T16:45:46Z - nagelflorian
2015-12-03T16:45:48Z - dylanbeadle
2015-12-03T16:45:48Z - XeroX
2015-12-03T16:45:50Z - jkandzi
2015-12-03T16:45:50Z - sebreh
2015-12-03T16:45:51Z - gemmakbarlow
2015-12-03T16:45:51Z - jlandon
2015-12-03T16:45:52Z - mika-f
2015-12-03T16:45:55Z - cezarywojcik
2015-12-03T16:45:56Z - euwars
2015-12-03T16:45:57Z - czars
2015-12-03T16:45:57Z - amro
2015-12-03T16:45:59Z - SRandazzo
2015-12-03T16:46:00Z - mynameisraj
2015-12-03T16:46:00Z - lembacon
2015-12-03T16:46:00Z - bvleur
2015-12-03T16:46:01Z - Ingelheim
2015-12-03T16:46:06Z - AlexeyDemedetskiy
2015-12-03T16:46:06Z - ppamorim
2015-12-03T16:46:06Z - thefabulousdev
2015-12-03T16:46:07Z - iGranDav
2015-12-03T16:46:07Z - dziulius
2015-12-03T16:46:07Z - Akkyie
2015-12-03T16:46:07Z - RussellWaite
2015-12-03T16:46:09Z - matsuosh
2015-12-03T16:46:09Z - jonahgeorge
2015-12-03T16:46:09Z - return
2015-12-03T16:46:12Z - Frizlab
2015-12-03T16:46:13Z - nwest
Page: 4
https://api.github.com/repos/apple/swift/stargazers?page=4&access_token=8c2bc79c047f26f92f1a46ed52d6b1b47b9565c5
<Response [200]>
2015-12-03T16:46:14Z - JaNd3r
2015-12-03T16:46:15Z - JulienBreux
2015-12-03T16:46:16Z - paulpires
2015-12-03T16:46:16Z - kylefrost
2015-12-03T16:46:16Z - weby
2015-12-03T16:46:16Z - ranunez
2015-12-03T16:46:16Z - michaelarmstrong
2015-12-03T16:46:19Z - devxoul
2015-12-03T16:46:19Z - davidbarsky
2015-12-03T16:46:21Z - diejmon
2015-12-03T16:46:21Z - raichur
2015-12-03T16:46:23Z - AndreasBackx
2015-12-03T16:46:24Z - walmyrcarvalho
2015-12-03T16:46:24Z - ppm
2015-12-03T16:46:24Z - dcilia
2015-12-03T16:46:24Z - joemasilotti
2015-12-03T16:46:25Z - Jxrgxn
2015-12-03T16:46:25Z - haskellcamargo
2015-12-03T16:46:26Z - KittenYang
2015-12-03T16:46:26Z - stevenhuey
2015-12-03T16:46:27Z - jayrhynas
2015-12-03T16:46:27Z - bontoJR
2015-12-03T16:46:28Z - triceam
2015-12-03T16:46:29Z - dennisweissmann
2015-12-03T16:46:30Z - filipw
2015-12-03T16:46:30Z - cielpy
2015-12-03T16:46:31Z - narner
2015-12-03T16:46:31Z - lifely
2015-12-03T16:46:32Z - gregheo
2015-12-03T16:46:33Z - mccarron
Page: 5
https://api.github.com/repos/apple/swift/stargazers?page=5&access_token=8c2bc79c047f26f92f1a46ed52d6b1b47b9565c5
<Response [200]>
2015-12-03T16:46:33Z - paulthorsteinson
2015-12-03T16:46:34Z - pgonee
2015-12-03T16:46:34Z - kubosho
2015-12-03T16:46:36Z - kciter
2015-12-03T16:46:36Z - nanoxd
2015-12-03T16:46:37Z - drhaynes
2015-12-03T16:46:37Z - stefanahman
2015-12-03T16:46:39Z - raphaelcosta
2015-12-03T16:46:39Z - akleiner2
2015-12-03T16:46:42Z - acgh
2015-12-03T16:46:42Z - s3rgiosan
2015-12-03T16:46:42Z - edubarr
2015-12-03T16:46:42Z - jfroy
2015-12-03T16:46:42Z - Pearapps
2015-12-03T16:46:43Z - stanislaw
2015-12-03T16:46:43Z - charmcitygavin
2015-12-03T16:46:47Z - tbass134
2015-12-03T16:46:49Z - anatg
2015-12-03T16:46:49Z - JARinteractive
2015-12-03T16:46:49Z - kocsenc
2015-12-03T16:46:50Z - Boerworz
2015-12-03T16:46:51Z - Constellation
2015-12-03T16:46:51Z - sweedbes
2015-12-03T16:46:53Z - mwlio
2015-12-03T16:46:53Z - AlexanderNey
2015-12-03T16:46:55Z - lacrosse
2015-12-03T16:47:02Z - ChristopherRogers
2015-12-03T16:47:06Z - daquinons
2015-12-03T16:47:06Z - JamesKuang
2015-12-03T16:47:06Z - codestergit
Page: 6
https://api.github.com/repos/apple/swift/stargazers?page=6&access_token=8c2bc79c047f26f92f1a46ed52d6b1b47b9565c5
<Response [200]>
2015-12-03T16:47:08Z - aaronschubert0
2015-12-03T16:47:08Z - loloop
2015-12-03T16:47:09Z - Maxador
2015-12-03T16:47:10Z - dmakarenko
2015-12-03T16:47:10Z - soutar
2015-12-03T16:47:12Z - wadeanthony0100
2015-12-03T16:47:13Z - crsantos
2015-12-03T16:47:13Z - nithinnara
2015-12-03T16:47:16Z - mylifeasdog
2015-12-03T16:47:17Z - jeffwilcox
2015-12-03T16:47:17Z - kzaher
2015-12-03T16:47:17Z - linhmtran168
2015-12-03T16:47:18Z - kentwelcome
2015-12-03T16:47:19Z - twstokes
2015-12-03T16:47:23Z - actoris
2015-12-03T16:47:23Z - boblmartens
2015-12-03T16:47:23Z - RuiAAPeres
2015-12-03T16:47:24Z - oldashes
2015-12-03T16:47:24Z - stulevine
2015-12-03T16:47:27Z - joekr
2015-12-03T16:47:27Z - beanieboi
2015-12-03T16:47:27Z - arthtux
2015-12-03T16:47:29Z - ryancumley
2015-12-03T16:47:31Z - filipeamoreira
2015-12-03T16:47:32Z - sonu27
2015-12-03T16:47:32Z - OdNairy
2015-12-03T16:47:32Z - chriskaukis
2015-12-03T16:47:33Z - olensmar
2015-12-03T16:47:33Z - Ruenzuo
2015-12-03T16:47:35Z - codykrieger
Page: 7
